 best_model_episode  best_model_reward
                  0              639.0
                  0              640.0
                  0             1004.0
                  0                3.0
                  1             1166.0
                  1             1169.0
                  1             1166.0
                  1             1051.0
                  2             1168.0
                  4             1170.0
                 10             1170.0
                 11             1169.0
                 15             1171.0
                 27             1183.0
                 28             1168.0
                 31             1169.0
